Restaurant_id,hours_open_sunday,hours_open_monday,hours_open_tuesday,hours_open_wednesday,hours_open_thursday,hours_open_friday,hours_open_saturday,hours_close_sunday,hours_close_monday,hours_close_tuesday,hours_close_wednesday,hours_close_thursday,hours_close_friday,hours_close_saturday
poke-bar-houston-9,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2100,2100,2100
ship-and-shield-houston-3,1500,1500,1500,1500,1500,1500,1500,0000,0000,0000,0200,0200,0200,0000
rays-real-pit-bbq-shack-houston-2,1100,1100,1100,1100,1100,1100,,2000,2000,2000,2000,2000,2000,
julep-houston,1600,1600,1600,1600,1500,1500,1600,0200,0200,0200,0200,0200,0200,0200
burger-chan-houston,0700,0700,0700,0700,0700,,,1400,1400,1400,1400,1400,,
little-matts-houston-2,1030,1030,1030,1030,1030,1030,1030,2000,2000,2000,2000,2000,2000,2000
piola-houston,1100,1100,1100,1100,1100,1200,1200,2300,2300,2300,2300,0000,0000,2300
fm-kitchen-and-bar-houston-2,1100,1100,1100,1100,1100,1100,1100,0000,0000,0000,0000,0000,0000,0000
fadis-meyerland-mediterranean-grill-houston,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,2100
the-blue-fish-bayou-place-houston-2,1700,1700,1700,1700,1700,1200,1200,2230,2230,2230,2230,2330,2330,2230
the-district-houston-2,1030,1030,1030,1030,1030,1030,1030,2200,2200,2200,2200,2200,2200,2200
republic-diner-sojubang-houston-4,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
petrol-station-houston,1700,1400,1400,1400,1100,1100,1200,0000,0000,0000,0000,0000,0100,2200
italian-express-pizzeria-houston,1600,1600,1600,1600,1600,1200,1200,2200,2200,2200,2200,2200,2200,2100
helen-greek-food-and-wine-houston,,1100,1100,1100,1100,1100,1100,,2200,2200,2200,2300,2300,2100
golden-dumpling-house-houston,,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2100,2100
bibos-cafe-houston-2,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2100,2100,
jimees-bbq-houston,1100,1100,1100,1100,1100,,,1500,1500,1500,1500,1500,,
piggys-kitchen-and-bar-houston,,1100,1100,1100,1100,0900,0900,,2200,2200,2200,0000,0000,2100
