Restaurant_id,Review_user,Review_text,Review_url
fuego-tortilla-grill-college-station,M P.,"Service is beyond phenomenal:
Upon coming in, I told the cashier that I have never been to Fuego, and she gave me a run down of how the menu works and which...",https://www.yelp.com/biz/fuego-tortilla-grill-college-station?hrid=uTxzXXp_tynlPYqpnUwIrA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
fuego-tortilla-grill-college-station,Hannah M.,"Even with recent price increases, I still find myself at Fuego often. There's a few reasons for this. First is quality. I can't cook steak like this at...",https://www.yelp.com/biz/fuego-tortilla-grill-college-station?hrid=Nq9z4Ye3R4L7f9uXjeEjhA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
canteen-bar-and-grill-college-station,Julie C.,"This place is unique!
I can't imaging this theme working ANYWHERE else. I felt like I was on the set of MASH the whole time. The military theme was cute...",https://www.yelp.com/biz/canteen-bar-and-grill-college-station?hrid=XJV9mUQRUOgPmO21DLKa0A&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
canteen-bar-and-grill-college-station,Amelia Merie G.,"COURTESY STARS, I WANT TO LEAVE ONE STAR


The staff was not very attentive or sociable, definitely did not feel like laughing at my hilarious jokes. The...",https://www.yelp.com/biz/canteen-bar-and-grill-college-station?hrid=QBoouRXMhSHA0CXWMkgNfg&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
canteen-bar-and-grill-college-station,Blake B.,"What a mixed bag to avoid. I REALLY wanted to like this restaurant. But WAY too many misses and strike-outs to give it anything above one star.

Where to...",https://www.yelp.com/biz/canteen-bar-and-grill-college-station?hrid=hiQtEz7UgN7Cp-gDAPQU_g&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
the-west-end-elixir-company-college-station,Sarah B.,"Absolutely in love with this cocktail bar! As someone who has been out of college for a while, it was nice to discover this place just off of the Northgate...",https://www.yelp.com/biz/the-west-end-elixir-company-college-station?hrid=KjBgZySiAg16w4evUr4cGg&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
the-west-end-elixir-company-college-station,Emily S.,"This place is great! I came here a ton in college but Sunday was the first time I tried their brunch. 
As a bar, it's one of my favorites in College...",https://www.yelp.com/biz/the-west-end-elixir-company-college-station?hrid=3FBojFUdYviVU4UH2k5mtQ&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
the-west-end-elixir-company-college-station,Julie C.,"This place appears to be a cool happy hour spot, with their trendy speakeasy vibe and nice patio. It's all a show. The quality of the food and drinks were...",https://www.yelp.com/biz/the-west-end-elixir-company-college-station?hrid=3P14RnVxwTgZPBEooEwToQ&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
40-tempura-japanese-fusion-grill-college-station,Xiao Y.,"The environment is great! I like the music most! The waiter is such a gentleman! It would make you feel everything is elegant here. 

The food here is...",https://www.yelp.com/biz/40-tempura-japanese-fusion-grill-college-station?hrid=scJx0xVOPARuZBN0yCDJdg&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
40-tempura-japanese-fusion-grill-college-station,Ana W.,"One word... superb!
Clean restaurant, nice chic atmosphere and really really good food. And the service was excellent too. Definitely  coming back! 
Had the...",https://www.yelp.com/biz/40-tempura-japanese-fusion-grill-college-station?hrid=SSO1kM5--chGXd0iE80pLA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
40-tempura-japanese-fusion-grill-college-station,Jasmine Y.,"I've been hesitant about coming here, since we're pretty far from water and fresh sushi didn't seem a likely option here. However, while my parents visited...",https://www.yelp.com/biz/40-tempura-japanese-fusion-grill-college-station?hrid=PZ-sbJIVqBADHqXK7z5Q-g&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
ye-star-chinese-buffet-college-station,Loren S.,Ok so apparently people don't understand how to critique restaurants on yelp. Every review below 4 stars on this place is completely stupid. C.P. basically...,https://www.yelp.com/biz/ye-star-chinese-buffet-college-station?hrid=Y3D7L0Y1q_G1o_hEOz_HoA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
ye-star-chinese-buffet-college-station,Dogleg R.,"Star dishes- crab rangoons, teriyaki chicken, pepper chicken, Mongolian beef, dim sum, fried plaintains, and the string beans, for dessert have some real...",https://www.yelp.com/biz/ye-star-chinese-buffet-college-station?hrid=pN99DVuMYtWwo_YJrItKZw&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
